Comment,Designator,Footprint,LCSC
"100nf","C1,C2,C5,C6,C9,C10","Capacitor_SMD:C_0805_2012Metric","C49678"
"1nf","C3,C4,C7,C8,C11,C12","Capacitor_SMD:C_0805_2012Metric","C46653"
"Fuse","F1001,F1002,F1003,F1004,F1005,F1006,F1007,F1008,F1009,F1010,F1011,F1012,F1013,F1014,F1015,F1016,F1017,F1018,F1019,F1020,F1021,F1022,F1023,F1024,F1025,F1026,F1027,F1028,F1029,F1030,F1031,F1032,F1033,F1034,F1035,F1036,F1037,F1038,F1039,F1040,F1041,F1042,F1043,F1044,F1045,F1046,F1047,F1048,F1049,F1050,F1051,F1052,F1053,F1054,F1055,F1056,F1057,F1058,F1059,F1060,F1061,F1062,F1063,F1064,F1065,F1066,F1067,F1068,F1069,F1070,F1071,F1072,F1073,F1074,F1075,F1076,F1077,F1078,F1079,F1080,F1081,F1082,F1083,F1084,F1085,F1086,F1087,F1088,F1089,F1090,F1091,F1092,F1093,F1094,F1095,F1096,F1097,F1098,F1099,F1100,F1101,F1102,F1103,F1104,F1105,F1106,F1107,F1108,F1109,F1110,F1111,F1112,F1113,F1114,F1115,F1116,F1117,F1118,F1119,F1120,F1121,F1122,F1123,F1124,F1125,F1126,F1127,F1128,F1129,F1130,F1131,F1132,F1133,F1134,F1135,F1136,F1137,F1138,F1139,F1140,F1141,F1142,F1143,F1144,F1145,F1146,F1147,F1148,F1149,F1150,F1151,F1152,F1153,F1154,F1155,F1156,F1157,F1158,F1159,F1160,F1161,F1162,F1163,F1164,F1165,F1166,F1167,F1168,F1169,F1170,F1171,F1172,F1173,F1174,F1175,F1176,F1177,F1178,F1179,F1180,F1181,F1182,F1183,F1184,F1185,F1186,F1187,F1188,F1189,F1190,F1191,F1192","","C151093"
"Fuse_Holder","F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F201,F202,F203,F204,F205,F206,F207,F208,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F219,F220,F221,F222,F223,F224,F225,F226,F227,F228,F229,F230,F231,F232,F301,F302,F303,F304,F305,F306,F307,F308,F309,F310,F311,F312,F313,F314,F315,F316,F317,F318,F319,F320,F321,F322,F323,F324,F325,F326,F327,F328,F329,F330,F331,F332,F401,F402,F403,F404,F405,F406,F407,F408,F409,F410,F411,F412,F413,F414,F415,F416,F417,F418,F419,F420,F421,F422,F423,F424,F425,F426,F427,F428,F429,F430,F431,F432,F501,F502,F503,F504,F505,F506,F507,F508,F509,F510,F511,F512,F513,F514,F515,F516,F517,F518,F519,F520,F521,F522,F523,F524,F525,F526,F527,F528,F529,F530,F531,F532,F601,F602,F603,F604,F605,F606,F607,F608,F609,F610,F611,F612,F613,F614,F615,F616,F617,F618,F619,F620,F621,F622,F623,F624,F625,F626,F627,F628,F629,F630,F631,F632,F1193,F1194,F1195,F1196,F1197,F1198","LCSC_parts:LCSC_C2935870_Fuse_holder","C2935870"
"Pig_Con","J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,F1385,F1393","TestPoint:TestPoint_THTPad_1.5x1.5mm_Drill0.7mm","NA"
"Dodge_Con","J1","Dodge_Cons:1999_Dodge_Connector_32x3cons","NA"
"TestPoint_2Pole","TP101,TP102,TP103,TP104,TP105,TP106,TP107,TP108,TP109,TP110,TP111,TP112,TP113,TP114,TP115,TP116,TP117,TP118,TP119,TP120,TP121,TP122,TP123,TP124,TP125,TP126,TP127,TP128,TP129,TP130,TP131,TP132,TP201,TP202,TP203,TP204,TP205,TP206,TP207,TP208,TP209,TP210,TP211,TP212,TP213,TP214,TP215,TP216,TP217,TP218,TP219,TP220,TP221,TP222,TP223,TP224,TP225,TP226,TP227,TP228,TP229,TP230,TP231,TP232,TP301,TP302,TP303,TP304,TP305,TP306,TP307,TP308,TP309,TP310,TP311,TP312,TP313,TP314,TP315,TP316,TP317,TP318,TP319,TP320,TP321,TP322,TP323,TP324,TP325,TP326,TP327,TP328,TP329,TP330,TP331,TP332,TP401,TP402,TP403,TP404,TP405,TP406,TP407,TP408,TP409,TP410,TP411,TP412,TP413,TP414,TP415,TP416,TP417,TP418,TP419,TP420,TP421,TP422,TP423,TP424,TP425,TP426,TP427,TP428,TP429,TP430,TP431,TP432,TP501,TP502,TP503,TP504,TP505,TP506,TP507,TP508,TP509,TP510,TP511,TP512,TP513,TP514,TP515,TP516,TP517,TP518,TP519,TP520,TP521,TP522,TP523,TP524,TP525,TP526,TP527,TP528,TP529,TP530,TP531,TP532,TP601,TP602,TP603,TP604,TP605,TP606,TP607,TP608,TP609,TP610,TP611,TP612,TP613,TP614,TP615,TP616,TP617,TP618,TP619,TP620,TP621,TP622,TP623,TP624,TP625,TP626,TP627,TP628,TP629,TP630,TP631,TP632","TestPoint:TestPoint_2Pads_Pitch5.08mm_Drill1.3mm","NA"
"ACS712xLCTR-20A","U1,U2,U3,U4,U5,U6","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C10681"
